"threshold","tpr","fpr","precision","network","network_label","n","n_f"
0.31,1,0.00558659217877095,0.96875,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.32,1,0.00558659217877095,0.96875,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.33,1,0.00558659217877095,0.96875,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.34,1,0.00558659217877095,0.96875,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.35,1,0.00558659217877095,0.96875,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.36,1,0.00558659217877095,0.96875,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.37,1,0.00558659217877095,0.96875,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.38,1,0.00558659217877095,0.96875,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.39,0.967741935483871,0.00558659217877095,0.967741935483871,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.4,0.967741935483871,0.00558659217877095,0.967741935483871,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.41,0.967741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.42,0.967741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.43,0.967741935483871,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.44,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.45,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.46,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.47,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.48,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
0.49,0.935483870967742,0,1,"A_baseline_only","A: Baseline-only (21 nodes)",100,"100"
