"tp","fp","fn","tn","precision","sensitivity","specificity","f1","shd","response_precision","response_recall","response_true_edges","network","n","rep"
29,16,2,124,0.644444444444444,0.935483870967742,0.885714285714286,0.763157894736842,35,0.777777777777778,1,7,"B_with_time",500,6
10,12,14,84,0.454545454545455,0.416666666666667,0.875,0.434782608695652,33,0.333333333333333,0.2,5,"A_baseline_only",20,7
12,29,19,111,0.292682926829268,0.387096774193548,0.792857142857143,0.333333333333333,51,0.5,0.142857142857143,7,"B_with_time",20,7
13,6,11,90,0.684210526315789,0.541666666666667,0.9375,0.604651162790698,25,0.666666666666667,0.4,5,"A_baseline_only",30,7
17,18,14,122,0.485714285714286,0.548387096774194,0.871428571428571,0.515151515151515,41,0.666666666666667,0.571428571428571,7,"B_with_time",30,7
12,8,12,88,0.6,0.5,0.916666666666667,0.545454545454545,28,0.666666666666667,0.8,5,"A_baseline_only",40,7
20,11,11,129,0.645161290322581,0.645161290322581,0.921428571428571,0.645161290322581,33,1,1,7,"B_with_time",40,7
19,6,5,90,0.76,0.791666666666667,0.9375,0.775510204081633,24,1,0.8,5,"A_baseline_only",50,7
23,11,8,129,0.676470588235294,0.741935483870968,0.921428571428571,0.707692307692308,33,1,0.714285714285714,7,"B_with_time",50,7
18,6,6,90,0.75,0.75,0.9375,0.75,18,1,1,5,"A_baseline_only",60,7
18,16,13,124,0.529411764705882,0.580645161290323,0.885714285714286,0.553846153846154,42,0.857142857142857,0.857142857142857,7,"B_with_time",60,7
18,5,6,91,0.782608695652174,0.75,0.947916666666667,0.765957446808511,21,1,0.6,5,"A_baseline_only",75,7
22,8,9,132,0.733333333333333,0.709677419354839,0.942857142857143,0.721311475409836,27,0.875,1,7,"B_with_time",75,7
22,2,2,94,0.916666666666667,0.916666666666667,0.979166666666667,0.916666666666667,15,0.833333333333333,1,5,"A_baseline_only",100,7
26,7,5,133,0.787878787878788,0.838709677419355,0.95,0.8125,30,1,1,7,"B_with_time",100,7
22,5,2,91,0.814814814814815,0.916666666666667,0.947916666666667,0.862745098039216,16,0.666666666666667,0.8,5,"A_baseline_only",150,7
28,9,3,131,0.756756756756757,0.903225806451613,0.935714285714286,0.823529411764706,31,1,0.857142857142857,7,"B_with_time",150,7
